,State,Primary,Candidate,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,t150,t151,t152,t153,t154,t155,t156,t157,t158,t159,t160,t161,t162,t163,t164,t165,t166,t167,t168,t169,t170,t171,t172,t173,t174,t175,t176,t177,t178,t179,t180,t181,t182,t183,t184,t185,t186,t187,t188,t189,t190,t191,t192,t193,t194,t195,t196,t197,t198,t199,t200,t201,t202,t203,t204,t205,t206,t207,t208,t209,t210,t211,t212,t213,t214,t215,t216,t217,t218,t219,t220,t221,t222,t223,t224,t225,t226,t227,t228,t229,t230,t231,t232,t233,t234,t235,t236,t237,t238,t239,t240,t241,t242,t243,t244,t245,t246,t247,t248,t249,t250,t251,t252,t253,t254,t255,t256,t257,t258,t259,t260,t261,t262,t263,t264,t265,t266,t267,t268,t269,t270,t271,t272,t273,t274,t275,t276,t277,t278,t279,t280,t281,t282,t283,t284,t285,t286,t287,t288,t289,t290,t291,t292,t293,t294,t295,t296,t297,t298,t299,t300,t301,t302,t303,t304,t305,t306,t307,t308,t309,t310
23,California,Republican,Cruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5859,0.5719,0.0,0.0,0.3802,0.784,0.784,-0.2732,0.0,0.0,0.0,0.5719,0.0,0.0,0.0,-0.6571,0.5255,0.0,0.0,0.4939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5242,0.0,0.0,0.0,0.0,0.5848,0.0,-0.4926,0.0,-0.5574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5707,0.2942,0.9336,0.0,0.0,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4588,0.3818,-0.126,0.0,0.0,0.6476,0.0,0.3182,0.0,0.0,0.0,0.6239,0.4588,0.0,0.0,0.7351,0.0,0.5411,0.0,0.4939,0.0,0.4767,0.3182,0.5106,0.0,0.7177,0.0,0.4199,0.6249,0.0,0.5574,0.0,0.0,0.7163,0.0,0.0,0.0,0.4019,0.4404,0.4404,0.0,0.0,0.4404,0.0,0.0,0.0,0.0,0.0,0.6369,0.0,-0.3244,0.0,0.6342,0.0,0.0,-0.34,0.0,0.0,-0.0772,0.0,0.0,0.0,0.0,0.0,-0.5267,0.0,0.0,0.5859,0.6588,0.0,0.8313,0.0,0.0,0.4019,0.0,-0.5859,0.886,0.0,0.0,0.0,0.0,0.5994,0.34,0.0,0.34,0.4003,0.0,0.0,0.0,0.5719,0.4588,-0.2789,-0.1531,0.4215,0.0772,0.0,0.0,0.5106,0.0,0.3612,0.802,0.0,0.6249,0.7717,0.0,-0.296,0.2732,0.0,0.0,0.5697,0.0,0.6808,0.8689,0.0,0.0,0.5267,0.0,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.5106,0.0,0.5411,0.0,0.0,-0.7906,-0.4939,0.0,0.0,0.0,0.0,0.0,0.0,0.6369,0.0,0.0,0.0,0.5994,0.6369,0.0,-0.5848,0.5719,0.3612,0.3612,0.6341,0.0,0.0,0.0,0.0,0.5994,0.0,0.5267,0.6988,0.4019,0.5719,0.0,0.0,0.0,0.0,0.0258,0.0,0.3612,0.0,0.0,0.5859,0.0,-0.4168,0.0,0.0,0.0,0.0,0.8934,0.8934,0.5719,0.5106,0.0,0.0,0.0,0.4588,0.0,0.0,0.0,-0.52,0.5106,0.0,0.0,0.4767,0.1027,0.0,0.0,0.0,0.6841,0.0,0.7579,0.0,0.4926,0.0,0.5067,0.8402,0.6124,0.0,0.765,0.0,0.3182,0.0,0.507,0.0,0.5562,0.0,0.0,0.0,0.0,0.0,0.0,-0.4215,0.0,0.2714,0.0,-0.6721,0.0,-0.25
24,California,Republican,Trump,0.7717,0.431,0.0,0.6124,0.0516,-0.296,0.6808,0.0,-0.3322,0.7351,-0.7003,0.6588,0.0,-0.128,0.0,0.0,0.0,0.0,0.4404,0.0,0.0,0.0,-0.4767,0.0,-0.4588,0.0,0.0,0.0,0.0,0.2732,0.0,0.1779,0.1354,0.5106,-0.25,0.0,-0.78,-0.4019,0.0,0.5859,0.0,0.5574,0.3612,0.0,0.4215,0.0,0.0,-0.34,0.0,-0.7893,-0.4767,-0.7096,0.0,0.0,-0.3182,0.0,0.4767,-0.7579,-0.6486,0.0,-0.2732,0.0,-0.34,0.0,-0.4404,0.6124,-0.4767,0.0,0.0,0.0,0.0,-0.2003,0.0,0.0,0.0,0.0,-0.428,0.0,0.0,-0.5574,0.2732,-0.296,0.0772,0.0,-0.2263,-0.5106,0.7795,0.0,0.7795,-0.9652,0.4404,0.3818,-0.5256,0.0,-0.7579,-0.5267,0.4404,-0.25,0.0,0.0,-0.2263,0.0,-0.2263,-0.6705,0.0,-0.4466,0.2732,0.4404,-0.25,0.0,0.25,-0.5859,-0.4939,0.1531,0.0258,0.0516,-0.2263,-0.8573,0.0,0.0,0.0,0.0,-0.2263,-0.25,0.1779,0.0,0.0,0.1531,-0.1027,-0.2911,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Colorado,Democrat,Clinton,0.0,-0.3054,0.0,-0.3054,0.34,-0.34,0.4404,0.6041,0.0,0.5994,-0.3182,0.0,0.5307,-0.748,-0.5859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Colorado,Democrat,Sanders,0.7717,0.4939,0.0,0.4215,0.0,0.34,0.6588,0.7745,0.0,0.5974,0.0,0.0,0.128,-0.3691,0.0,0.128,0.0,0.2664,-0.7717,-0.7717,0.0,0.7399,-0.7184,-0.7184,0.0,0.4588,0.0,0.34,0.0,0.0,0.6249,-0.2617,-0.128,0.0,0.0,-0.7184,0.0,0.7648,0.0,0.6476,0.0,-0.4822,-0.2003,0.69,0.0,0.0,0.0,0.3182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Colorado,Republican,Rubio,0.7424,0.4329,0.3591,0.0,-0.4296,-0.4559,0.4927,0.6808,-0.1779,0.1109,0.631,0.0387,0.1226,-0.4442,0.4767,0.4019,0.0258,-0.7184,0.9149,0.0,-0.2617,0.6908,0.3612,0.0,0.0516,0.4199,0.0,0.5423,0.8268,-0.296,0.7755,0.2682,-0.5829,0.4939,0.6249,0.0,0.4767,-0.0258,0.0772,-0.3818,0.0,0.4588,0.3612,0.9396,0.5499,-0.296,0.6369,0.5487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Colorado,Republican,Cruz,0.7506,0.1109,0.0258,0.5574,0.0,0.0387,0.5994,0.6633,0.7485,-0.6652,0.0,0.7424,0.4329,0.3591,0.7579,0.69,-0.3561,0.5574,-0.4296,0.6351,0.4404,-0.4559,0.6343,-0.6566,-0.7938,0.0516,-0.3802,0.9149,-0.2617,-0.34,0.6908,0.25,0.0,0.5423,0.0,-0.4404,0.8268,-0.296,0.0,0.0,0.0,0.2682,0.5486,0.0,0.765,-0.4215,0.0,0.9396,0.5499,-0.7096,0.4019,0.6369,-0.296,0.0,-0.5129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Colorado,Republican,Trump,0.4329,0.3591,-0.6249,0.4883,0.69,-0.4296,-0.4559,-0.1756,0.5499,0.5499,0.5346,0.7184,0.5719,0.0,-0.5233,0.0,0.4404,0.0258,0.0,-0.8964,0.7289,-0.845,-0.0258,-0.9062,0.0,0.0,0.4019,-0.4302,-0.5423,-0.1779,0.5859,0.6249,0.8652,0.34,-0.4588,-0.4404,0.4019,0.3612,-0.5106,0.7034,-0.5719,-0.2617,-0.34,0.6908,0.5994,0.3612,-0.0516,0.4404,0.6908,-0.6249,0.2263,-0.8622,0.7184,-0.4019,0.3182,-0.4003,0.6808,0.6249,-0.1779,0.5684,-0.4939,0.1109,0.0772,-0.5267,0.8225,0.7184,-0.5106,0.0772,0.3818,-0.4767,-0.5733,0.0258,0.1027,0.6041,0.4767,0.1877,0.1635,0.4118,-0.3089,0.4019,0.0,0.0258,0.0,0.0,0.4588,-0.4939,-0.7184,0.0,-0.1154,0.5859,0.3818,0.1501,-0.4767,-0.7003,-0.765,-0.886,-0.5574,0.631,-0.8074,-0.5574,-0.6486,0.0387,0.4939,-0.841,-0.5106,-0.0772,0.0,-0.1027,-0.296,0.6249,0.7783,0.0,0.0,0.7352,-0.7506,0.2682,0.1531,0.8442,0.5719,-0.5829,0.5486,0.0,-0.4404,0.644,-0.3182,0.0,-0.6671,0.0,0.0,-0.25,0.0,0.0,0.3612,-0.4574,0.0,0.0,-0.3818,-0.7103,-0.1531,0.3612,-0.7003,-0.7096,0.5719,0.765,-0.4215,0.8519,0.0,0.6249,-0.5267,-0.5129,-0.0258,0.0772,0.3612,0.0,0.5267,0.0,-0.8765,0.0516,-0.296,0.6369,0.0,0.4939,-0.1531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Connecticut,Democrat,Clinton,0.5719,0.6114,0.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5859,0.0,-0.34,0.0,0.3612,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Connecticut,Democrat,Sanders,0.0,0.3612,0.0,-0.3218,0.0,0.128,0.0,0.0,0.0,0.0,0.4854,0.4854,0.0,0.0,0.0,0.0,0.0,0.0,0.6369,0.4019,0.0,0.0,-0.0772,0.4767,0.0,0.0,0.0,0.0,0.0,-0.0772,0.0,0.0,0.0,0.0,0.0,0.6892,0.0,0.6249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4215,0.0,0.4215,0.5319,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Connecticut,Republican,Rubio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Connecticut,Republican,Cruz,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Connecticut,Republican,Trump,0.0,0.0,-0.3182,0.0,-0.3182,-0.4215,0.0772,0.0,0.0,0.0,0.0,0.7717,-0.7906,-0.2023,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Delaware,Democrat,Clinton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Delaware,Democrat,Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Delaware,Republican,Rubio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Delaware,Republican,Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Delaware,Republican,Trump,0.5859,0.5859,0.3182,-0.5574,0.2732,0.5423,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,District of Columbia,Democrat,Clinton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,District of Columbia,Democrat,Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,District of Columbia,Republican,Rubio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,District of Columbia,Republican,Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,District of Columbia,Republican,Trump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Florida,Democrat,Clinton,0.0,0.5994,0.0,0.0,0.0,-0.5859,-0.3818,0.0,-0.0772,-0.0772,0.0,0.0,0.0,0.0,0.0,0.0,0.6784,-0.8705,-0.4019,0.8126,0.6562,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Florida,Democrat,Sanders,0.8772,0.6588,0.6369,0.0,-0.3818,-0.5859,0.0,0.0,-0.2263,-0.4215,0.5994,0.0,0.0,0.0,0.5859,0.0,0.296,0.6884,0.0,0.0,0.0,-0.69,0.6388,0.0,-0.5267,-0.6688,-0.1531,-0.4588,0.0,-0.5994,0.0,0.0,0.1531,-0.0772,0.0,0.0,0.0,0.0,0.0,0.0,0.6124,0.0,0.0,0.4588,0.0,0.5719,0.0,0.0,0.0,0.6204,0.8356,0.0,0.0,0.4574,0.0,0.6369,0.0,0.7603,0.0,0.0,0.0,0.5859,0.0,0.2732,0.4215,0.0,0.0,0.3802,0.5267,0.4753,0.7177,0.0,0.0,0.0,0.4215,0.5423,0.0,0.0,0.0,-0.1531,0.5106,0.0,0.0,0.3612,0.9015,0.3612,0.0,0.0,0.0,0.128,0.1901,0.8126,0.4404,0.0,0.5994,0.5411,0.0,0.0,0.0,0.0,0.0,0.8769,0.2732,0.0,0.0,0.0,0.4005,0.0,0.3802,0.6588,0.0,-0.5267,0.0,0.0,0.6249,0.0,0.4574,0.6809,0.9379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Florida,Republican,Rubio,0.4215,0.0,0.0,-0.0065,0.8555,0.2732,0.6369,0.5719,0.0,0.0,0.6486,-0.5255,0.2075,-0.5423,0.4019,0.0,0.1779,0.4574,-0.0258,0.0,0.0,0.5399,0.6996,0.6249,-0.0387,0.0,0.0,0.0,0.0,-0.7626,0.0,0.0,0.0,0.0,-0.1531,0.5386,-0.625,-0.5859,-0.5267,0.0,-0.296,-0.3331,0.0,0.0,0.4404,-0.8652,-0.743,-0.7783,0.0,-0.6908,-0.2755,0.0,0.0,0.0,0.128,0.4019,0.0,0.0,0.0,0.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Florida,Republican,Cruz,0.0,0.0,0.6597,0.0,-0.3595,-0.7626,0.0,0.0,0.0,0.6342,0.0,0.0,0.7184,0.8555,0.0,0.0,0.0,0.3182,0.5826,0.9423,0.7906,0.6125,-0.2905,0.5859,-0.9035,-0.7359,-0.758,0.0,0.4374,-0.7359,-0.2755,0.5411,0.7562,0.8126,0.0,0.0,0.0,0.0,-0.3595,0.0,0.4215,0.4215,0.7906,0.0,0.6981,0.6486,0.0,0.4019,0.6369,0.0,0.0,0.4939,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
